QUALITY_SCORE,SPECIES,OWNER,REGION,COUNTRY_OF_ORIGIN,HARVEST_YEAR,VARIETY,STATUS,PROCESSING_METHOD,AROMA,FLAVOR,AFTERTASTE,ACIDITY,BODY,BALANCE,CLEAN_CUP,SWEETNESS,CUPPER_POINTS,MOISTURE,QUAKERS,CATEGORY_ONE_DEFECTS,CATEGORY_TWO_DEFECTS,COLOR,ALTITUDE_NUMERIC,ALTITUDE_UOM,GRADING_YEAR
72.58,Arabica,Eileen Koyanagi,KONA,USA (Hawaii),2014,Hawaiian Kona,Completed,Natural_Dry,6.92,6.92,6.92,7.5,7.58,7.17,6.67,9.33,6.92,11,0,5,9,Green,NULL,NULL,2014
72.83,Arabica,Honor dela Fuente,,Colombia,2013,NULL,Completed,Natural_Dry,8,7.33,7.75,7.33,7.42,7.67,6.67,6.67,7.33,0,0,0,15,Bluish_Green,NULL,NULL,2014
72.92,Arabica,Kurt Kappeli,SIERRA ALTA MIXE Y ZAPOTECA,Mexico,2014,Typica,Completed,Washed_Wet,7.08,7.08,6.92,7.08,6.92,6.92,8,8,6.92,0,0,1,1,NULL,1200,m,2014
73.42,Arabica,CAFES FINOS DE EXPORTACION S DE R.L.,INTIBUCA,Honduras,2014,Pacas,Completed,Washed_Wet,7,7.17,6.83,7.17,7,7.17,8,8,7.08,11,0,1,16,Green,1350,m,2014
73.5,Arabica,BOURBON SPECIALTY COFFEES,CAMPOS ALTOS CERRADO,Brazil,2016,NULL,Completed,NULL,7.25,6.58,6.58,7,7,6.42,8,10,6.67,11,1,0,0,Green,NULL,NULL,2015
73.67,Arabica,Kona Pacific Farmers Cooperative,KONA,USA (Hawaii),2012,Hawaiian Kona,Completed,Natural_Dry,7.17,7.17,7.17,7.58,7.67,6.92,6.67,6.67,7.33,0,0,9,17,NULL,NULL,NULL,2012
73.83,Arabica,EUGENE HOLMAN PEW,COAEPEC,Mexico,2012,Typica,Completed,Washed_Wet,7.67,7,7.17,7.58,7.33,7.33,2.67,10,7.08,12,0,0,19,Green,1250,m,2012
74,Arabica,MYRNA ROXANA GALVEZ GONZALEZ,XALAPA,Mexico,2012,Typica,Completed,Washed_Wet,6.92,6.42,6.17,7.33,7.25,6.75,6.67,10,6.5,13,0,0,27,None,1200,m,2012
74.33,Arabica,JORGE OCTAVIO ESCAMILLA PRADO,CHOCAMAN VERACRUZ,Mexico,2012,Typica,Completed,Washed_Wet,7,6.58,6.67,6.83,7.08,6.83,6.67,10,6.67,14,0,3,11,Green,1140,m,2012
74.33,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2013,Bourbon,Completed,Washed_Wet,6.5,6.33,6.5,7.5,7.33,6.83,10,8.67,6,11,0,1,1,Green,4300,ft,2013
74.42,Arabica,Eileen Koyanagi,KONA,USA (Hawaii),2014,Hawaiian Kona,Completed,Natural_Dry,7.5,7.25,7,7.25,7.42,7.33,8.67,6.67,7.33,0,0,1,2,Blue_Green,NULL,NULL,2014
74.67,Arabica,NESTOR MENDEZ GOMEZ,CHIAPAS,Mexico,2013,Typica,Completed,Washed_Wet,7.08,7,6.83,7.5,7.33,6.83,7.33,10,6.75,12,0,0,7,Green,1700,m,2013
74.75,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2012,Bourbon,Completed,Washed_Wet,6.75,6.5,6.17,7,7.25,6.75,10,10,6.33,11,0,0,8,NULL,NULL,NULL,2012
74.75,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2012,Bourbon,Completed,Washed_Wet,6.75,6.67,6.17,7.17,7,6.58,10,10,6.42,11,0,0,10,NULL,NULL,NULL,2012
74.83,Arabica,PABLO ENRIQUE MARTINEZ GAMA,COATEPEC,Mexico,2012,Typica,Completed,Washed_Wet,7.33,6.75,6.67,7.25,7.5,7,5.33,10,7,12,0,0,30,Green,1250,m,2012
74.92,Arabica,ISRAEL EDUARDO PAZ GARCIA,ZARAGOZA ITUNDUJIA,Mexico,2012,Typica,Completed,Washed_Wet,7.08,6.75,6.58,7,7,6.75,8.67,10,6.42,17,0,0,6,None,1500,m,2012
75,Arabica,"GRUPO JUVENIL MAGTAYANI, AC",MECATLAN,Mexico,2012,Typica,Completed,Washed_Wet,7,6.92,6.75,6.92,7.17,6.83,6.67,10,6.75,14,0,15,7,Green,850,m,2012
75.17,Arabica,FRANCISCO HERNANDEZ LORENZO,OCOSINGO,Mexico,2012,Mundo Novo,Completed,Washed_Wet,7.17,6.92,6.67,6.83,7.25,7.75,6,10,6.58,11,0,0,20,Green,1200,m,2012
75.17,Arabica,MARTIN JIMENEZ CASIANO,HUAUTLA DE JIMENEZ,Mexico,2012,Typica,Completed,Washed_Wet,7.17,7.17,6.83,7.17,7.42,6.67,7.33,10,6.75,13,0,23,29,Bluish_Green,1280,m,2012
75.17,Arabica,MONTEGRANDE,,Mexico,2012,Other,Completed,Washed_Wet,7.25,6.83,6.67,7.08,7.17,6.83,6.67,10,6.67,12,0,0,8,NULL,1100,m,2012
75.5,Arabica,JUANA RODRIGUEZ GUTIERREZ,TLACUILOTEPEC,Mexico,2012,Pacamara,Completed,Washed_Wet,7.5,7.25,6.92,7,7.17,6.83,8,10,6.83,11,0,4,20,Green,1100,m,2012
75.58,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2012,Bourbon,Completed,Washed_Wet,7.92,7.58,7.17,7.58,7.33,7.17,8,8,6.83,11,0,0,15,Green,4300,ft,2012
75.58,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2012,Bourbon,Completed,Washed_Wet,6.67,6.5,6.33,7,7.17,6.75,10,10,6.5,12,0,0,10,NULL,NULL,NULL,2012
75.67,Arabica,Volcafe Ltda. - Brasil,MONTE CARMELO CERRADO,Brazil,2017,NULL,Completed,Natural_Dry,7.17,7,6.83,7.5,7.17,7,8,10,7,11,1,0,6,Green,NULL,NULL,2017
75.83,Arabica,Ana Gonzales,BENGUET MOUNTAIN PROVINCE,Philippines,2012,NULL,Completed,Washed_Wet,6.83,6.5,6.5,6.92,6.75,7,10,9.33,6.67,12,0,0,2,Green,1000,m,2013
76,Arabica,CAFES FINOS DE EXPORTACION S DE R.L.,INTIBUCA,Honduras,2014,Pacas,Completed,Natural_Dry,6.83,6.83,6.67,6.83,7,6.83,8.67,10,7,11,0,0,7,Green,1350,m,2014
76.08,Arabica,GUILLERMO EDUARDO BOBADILLA MUGUIRA,TEPICTLA,Mexico,2012,Bourbon,Completed,Washed_Wet,7.08,6.83,6.83,7.17,7.17,7.08,7.33,10,6.58,12,0,0,12,Green,1250,m,2012
76.17,Arabica,Eileen Koyanagi,KONA,USA (Hawaii),2013,NULL,Completed,Natural_Dry,7.5,7.33,7.33,7.58,7.67,7.25,8,8,7.5,0,0,0,3,Bluish_Green,NULL,NULL,2014
76.17,Arabica,ISRAEL EDUARDO PAZ GARCIA,ZARAGOZA ITUNDUJIA,Mexico,2012,Typica,Completed,Washed_Wet,7.42,7,6.83,7.08,6.92,6.83,10,10,6.75,16,0,2,4,None,1400,m,2012
76.17,Arabica,William Ho,INDONESIA,Indonesia,2011,Other,Completed,Natural_Dry,7.33,7,6.5,6.08,7.58,6.33,10,9.33,6.67,12,0,4,26,None,3500,ft,2012
76.25,Arabica,Eileen Koyanagi,KONA,USA (Hawaii),2014,Hawaiian Kona,Completed,Natural_Dry,7.25,7.08,6.83,7.17,7.33,6.83,8.67,9.33,7.08,0,0,0,0,Green,NULL,NULL,2014
76.33,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2012,Bourbon,Completed,Washed_Wet,7.5,7,6.83,7.5,7.17,7.33,8.67,8.67,7,11,0,0,8,Green,4300,ft,2012
76.33,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2011,Bourbon,Completed,Washed_Wet,6.17,6.5,6.5,7.17,7,6.83,10,10,6.17,11,0,0,5,NULL,NULL,NULL,2012
76.42,Arabica,HOMERO ANTONIO DE ANDA ANDRADE,COATEPEC,Mexico,2012,Typica,Completed,Washed_Wet,7.17,6.58,6.58,7,7.25,6.58,9.33,10,6.58,13,0,0,14,Green,1100,m,2012
76.5,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2012,Bourbon,Completed,Washed_Wet,6.42,6.5,6.5,7.33,6.33,6.92,10,10,6.5,12,0,0,4,None,NULL,NULL,2012
76.75,Arabica,Masamichi Hiroike,PLUMA HIDALOGO OAXACA,Mexico,2010,Typica,Completed,NULL,6.67,6.33,6.42,6.83,7,6.92,10,10,6.58,0,0,0,0,NULL,1200,m,2010
76.83,Arabica,Joshua Marsceau,CHICKMANGALORE,India,2016,NULL,Completed,Natural_Dry,7.67,7.33,7.17,6.67,7.17,7.42,10,6.67,7.42,0,7,0,0,Green,NULL,NULL,2017
77,Arabica,Andrew Bowman,SAN IGNACIO JAEN CAJAMARCA,Peru,2014,Caturra,Completed,Washed_Wet,7.42,7.75,7.42,7.67,7.92,7.83,5.33,9.33,7.67,0,0,7,9,Green,1200,m,2015
77.17,Arabica,ALEJANDRO GARCIA PALACIOS,MOTOZINTLA CHIAPAS,Mexico,2012,Other,Completed,Washed_Wet,7.08,7,7,7.25,7.33,7.25,8.67,10,6.92,12,0,1,11,Green,1200,m,2012
77.25,Arabica,Eileen Koyanagi,KONA,USA (Hawaii),2013,NULL,Completed,Natural_Dry,7.08,6.92,6.83,6.67,7.58,7.42,9.33,10,6.75,12,0,1,5,Green,NULL,NULL,2014
77.25,Arabica,Myriam Kaplan-Pasternak,DONDON HAITI,Haiti,2013,Typica,Completed,Washed_Wet,6.83,6.83,6.83,6.75,6.92,6.92,10,10,6.83,10,0,0,1,NULL,825,m,2014
77.33,Arabica,Ipanema Coffees,SOUTH OF MINAS GERAIS,Brazil,2017,Bourbon,Completed,Natural_Dry,7.5,7.33,7.42,7.58,7.58,6.92,8,10,7,0,0,0,3,Green,890,m,2017
77.33,Arabica,ISRAEL EDUARDO PAZ GARCIA,ZARAGOZA ITUNDUJIA,Mexico,2012,Typica,Completed,Washed_Wet,7.33,7,6.67,7,6.92,6.92,9.33,10,6.83,15,0,4,5,None,1500,m,2012
77.33,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2014,Other,Completed,Washed_Wet,7.33,7,6.83,7.17,7.17,7.17,9.33,9.33,6.67,10,0,1,2,Green,4000,ft,2014
77.42,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2013,Bourbon,Completed,Washed_Wet,7.08,6.92,6.33,7,6.92,7,10,10,6.17,11,0,2,15,Green,4300,ft,2013
77.5,Arabica,STEPHANY ESCAMILLA FEMAT,COATEPEC,Mexico,2012,Typica,Completed,Washed_Wet,7.17,6.75,6.58,6.75,6.83,6.75,10,10,6.67,13,0,0,3,Green,1300,m,2012
77.58,Arabica,Kona Pacific Farmers Cooperative,KONA,USA (Hawaii),2013,NULL,Completed,Natural_Dry,7.58,7.67,7.58,7.67,7.42,7.42,9.33,6,7.58,12,0,1,5,Green,NULL,NULL,2013
77.67,Arabica,"Lin, Che-Hao Krude 林哲豪",DONGSHAN DIST TAINAN CITY 臺南市東山區,Taiwan,2012,Typica,Completed,Washed_Wet,7.17,6.75,6.58,7.33,7.33,7.17,9.33,10,6.67,11,0,0,0,Bluish_Green,775,m,2013
77.83,Arabica,"BENCAFE, S. A.",JINOTEGA PROVINCE,Nicaragua,2016,NULL,Completed,NULL,7.42,7,7,7.17,7.08,7,8.67,10,7.17,10,0,0,0,Bluish_Green,1000,m,2016
77.83,Arabica,Cafe Politico,,Brazil,2014,NULL,Completed,Washed_Wet,7,6.75,6.67,6.83,7.08,6.83,10,10,6.67,11,0,0,2,NULL,NULL,NULL,2014
77.83,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2013,Bourbon,Completed,Washed_Wet,7,6.83,6.67,7.17,6.83,6.83,10,10,6.5,11,0,0,2,Green,4300,ft,2013
77.92,Arabica,GUSTAVO ABARCA SOLIS,PETATLAN,Mexico,2012,Typica,Completed,Washed_Wet,7.42,7.25,7,7,7.25,7.08,10,10,6.92,11,0,0,3,Green,1248,m,2012
77.92,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2012,Bourbon,Completed,Washed_Wet,7.17,6.17,6.17,7.08,7.33,6.83,10,10,7.17,11,0,0,7,Green,NULL,NULL,2012
77.92,Arabica,Santa Laura Exportadora de Cafe S.L.E.C. S.A.,OCCIDENTAL,Costa Rica,2014,Caturra,Completed,Washed_Wet,7.5,7.25,7.42,7,7.08,6.83,9.33,10,6.83,12,0,2,4,Green,1200,m,2015
78,Arabica,ALEJANDRO GARCIA PALACIOS,MOTOZINTLA CHIAPAS,Mexico,2012,Other,Completed,Washed_Wet,7.25,7.33,7,7,7.25,7.08,10,8,7.08,12,0,2,7,Green,850,m,2012
78,Arabica,CAFES FINOS DE EXPORTACION S DE R.L.,INTIBUCA,Honduras,2014,Pacas,Completed,Natural_Dry,6.83,7,6.67,7,7,6.83,10,10,6.67,11,0,2,6,Green,1350,m,2014
78,Arabica,Eileen Koyanagi,KONA,USA (Hawaii),2014,Hawaiian Kona,Completed,Natural_Dry,7.58,7.33,7.5,7.42,7.5,7.33,8.67,9.33,7.33,12,0,2,3,Green,NULL,NULL,2014
78,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2013,Bourbon,Completed,Washed_Wet,7,6.83,6.83,7.17,6.67,6.83,10,10,6.67,11,0,3,9,Green,4300,ft,2013
78,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2014,Other,Completed,Washed_Wet,7.42,7.25,6.83,7.33,7,6.92,9.33,9.33,7.25,10,0,1,2,Green,4000,ft,2014
78,Arabica,"Lin, Che-Hao Krude 林哲豪",台南市東山區 DONGSHAN DIST TAINAN CITY,Taiwan,2016,Yellow Bourbon,Completed,Washed_Wet,7.5,7.08,7.33,7.17,7.5,7.5,10,10,7.25,0,0,3,4,Green,650,m,2017
78,Arabica,Mao-Heng Chu,,Colombia,2011,NULL,Completed,NULL,7.42,7.17,7,7.17,7.67,7.17,9.33,9.33,7.08,10,0,1,3,Green,NULL,NULL,2011
78,Arabica,Samuel Eli Gurel,PUER,China,2013,Typica,Completed,Washed_Wet,7.33,7.17,6.92,7.08,7.33,7,9.33,9.33,7.17,10,0,0,28,Green,1200,m,2013
78.08,Arabica,GUSTAVO AMIEVA GONZALEZ,CORDOBA,Mexico,2012,Typica,Completed,Washed_Wet,7.08,6.83,6.67,7.25,7.25,6.92,9.33,10,6.75,11,0,0,3,Green,1050,m,2012
78.17,Arabica,SanJava Coffee,IJEN EAST JAVA,Indonesia,2016,Java,Completed,Washed_Wet,6.92,6.83,6.92,6.92,6.92,6.83,10,10,6.83,13,0,0,1,NULL,1300,m,2017
78.25,Arabica,Eileen Koyanagi,KONA,USA (Hawaii),2014,Hawaiian Kona,Completed,Natural_Dry,7.5,7.5,7.33,7.58,7.5,7.42,8.67,8.67,7.42,11,0,2,8,Green,NULL,NULL,2015
78.25,Arabica,Kona Pacific Farmers Cooperative,KONA,USA (Hawaii),2012,Hawaiian Kona,Completed,Natural_Dry,7.42,7.33,7.33,7.5,7.67,7.75,8.67,9.33,7.25,11,0,4,31,Green,NULL,NULL,2012
78.33,Arabica,Eileen Koyanagi,KONA,USA (Hawaii),2014,Hawaiian Kona,Completed,Natural_Dry,7.5,7.75,7.58,7.83,7.92,7.92,8,8.67,7.83,10,0,0,0,Bluish_Green,NULL,NULL,2014
78.33,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2012,Bourbon,Completed,Washed_Wet,7.17,6.08,6.17,7.25,7.33,7.33,10,10,7,11,0,0,9,Green,NULL,NULL,2012
78.33,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2012,Bourbon,Completed,Washed_Wet,7.17,7.17,6.5,7.17,7,6.83,10,10,6.5,11,0,1,4,Green,4300,ft,2013
78.33,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2014,Other,Completed,Washed_Wet,7.17,6.5,6.67,7,7.17,7.17,10,10,6.67,10,0,0,2,Green,4000,ft,2014
78.33,Arabica,PABLO CERVANTES MORELOS,XOCHITONALCO HUAUTLA,Mexico,2012,Typica,Completed,Natural_Dry,7.25,7.25,7,7.5,7.33,7.42,9.33,10,7.75,13,0,31,47,Green,1300,m,2012
78.42,Arabica,BOURBON SPECIALTY COFFEES,MONTE CARMELO,Brazil,2014,Catuai,Completed,Natural_Dry,6.83,7,6.92,7.08,6.92,6.83,10,10,6.83,12,0,3,4,Green,NULL,NULL,2014
78.42,Arabica,ISRAEL EDUARDO PAZ GARCIA,ZARAGOZA ITUNDUJIA,Mexico,2012,Typica,Completed,Washed_Wet,7.58,7.17,7,7.17,7.33,7,10,10,7.17,14,0,0,0,None,1500,m,2012
78.5,Arabica,FRANCISCO RUIZ NUNEZ,LOS ANGELES,Mexico,2012,Caturra,Completed,Washed_Wet,7.25,7.17,7,6.83,7.58,7.08,10,10,6.92,13,0,1,3,Green,1200,m,2012
78.5,Arabica,Kurt Kappeli,SIERRA CHIAPAS,Mexico,2014,Bourbon,Completed,Washed_Wet,7.25,6.75,6.92,6.92,7.25,7.58,9.33,10,7.17,0,0,0,0,Green,1600,m,2014
78.5,Arabica,ROSARIO MIGUEL HERNANDEZ,VILLA TALEA DE CASTRO,Mexico,2012,Typica,Completed,Washed_Wet,7.08,6.83,6.83,7,7,6.92,10,10,6.83,12,0,0,14,None,1400,m,2012
78.58,Arabica,ALFREDO BOJALIL,TAPACHULA,Mexico,2012,Typica,Completed,Washed_Wet,7,7,6.75,7.33,6.92,6.92,10,10,6.67,13,0,0,1,Green,1400,m,2012
78.58,Arabica,"Exportadora Atlantic, S.A.",NUEVA SEGOVIA,Nicaragua,2016,NULL,Completed,NULL,7.08,7,6.75,6.83,7.08,6.92,10,10,6.92,10,5,1,7,Green,NULL,NULL,2016
78.58,Arabica,"Exportadora Atlantic, S.A.",,Nicaragua,2014,NULL,Completed,Natural_Dry,6.83,7.08,6.92,6.75,7.25,7.08,10,10,6.67,11,0,1,1,Green,NULL,NULL,2015
78.58,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2014,Other,Completed,Washed_Wet,7.33,7.17,6.92,7.58,7.25,7.17,9.33,10,7.17,12,0,0,3,Green,4000,ft,2014
78.58,Arabica,Kona Pacific Farmers Cooperative,KONA,USA (Hawaii),2011,NULL,Completed,NULL,7.92,6.83,7.08,7.42,6.75,7.33,9.33,10,7.25,0,0,0,0,NULL,NULL,NULL,2011
78.58,Arabica,"Lin, Che-Hao Krude 林哲豪",DONGSHAN DIST TAINAN CITY 臺南市東山區,Taiwan,2013,Typica,Completed,Washed_Wet,6.83,6.75,7.17,7.25,7,6.92,10,10,6.67,10,0,0,0,Green,800,m,2014
78.58,Arabica,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,COFRADIA DE SUCHITLAN,Mexico,2012,Typica,Completed,Washed_Wet,7.92,7.58,7.58,7.92,7.92,7.5,6.67,10,7.5,10,0,0,1,NULL,1300,m,2012
78.67,Arabica,Adam Ciruli Ye,YUNNAN CHINA,China,2013,Typica,Completed,Washed_Wet,7,6.92,6.83,7.17,7.17,7.17,10,9.33,7.08,0,0,0,5,Green,1850,m,2014
78.67,Arabica,JUAN GARCIA HERNANDEZ,YECUATLA,Mexico,2012,Caturra,Completed,Washed_Wet,6.92,6.92,6.67,7.25,7.17,6.92,10,10,6.83,13,0,0,2,None,1150,m,2012
78.75,Arabica,DAMASO MARTINEZ PEREZ,HUATUSCO,Mexico,2012,Typica,Completed,Semi_washed_Semi_pulped,7.25,7.33,7.17,7.25,7.08,7,10,10,7,14,0,0,0,None,1250,m,2012
78.75,Arabica,Eileen Koyanagi,KONA,USA (Hawaii),2013,NULL,Completed,Natural_Dry,7.5,6.92,6.92,7.25,7.58,7.42,9.33,9.33,7.17,12,0,5,8,Green,NULL,NULL,2014
78.75,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2013,Bourbon,Completed,Washed_Wet,7.33,7.08,6.33,7.25,7,7,10,10,6.75,12,0,1,8,Green,4300,ft,2013
78.75,Arabica,OCTAVIO AUGUSTO DIAZ TREJO,HUATUSCO,Mexico,2012,Typica,Completed,Washed_Wet,7.25,6.83,6.83,7,7.17,7,10,10,6.67,14,0,0,0,Green,1320,m,2012
78.75,Arabica,"PRODUCTORES DE ESPECIALIDAD EMILIANO ZAPEATA, SPR.",OHUAPAN TLALTETELA,Mexico,2012,Bourbon,Completed,Washed_Wet,7.67,7.17,6.83,7.33,7.58,7.17,10,8.67,7,12,0,0,0,NULL,1350,m,2012
78.83,Arabica,"Exportadora Atlantic, S.A.",JALAPA,Nicaragua,2016,Caturra,Completed,Other,7.17,7,6.92,7,7,7,10,10,6.75,10,2,0,4,Green,1100,m,2017
78.92,Arabica,ALFREDO BOJALIL,LA CONCORDIA CHIAPAS,Mexico,2013,Typica,Completed,Washed_Wet,7.33,7,6.75,7.08,7.17,7.25,10,10,7,12,0,0,8,Green,1300,m,2013
78.92,Arabica,ISRAEL EDUARDO PAZ GARCIA,ZARAGOZA ITUNDUJIA,Mexico,2012,Typica,Completed,Washed_Wet,7.5,7,6.92,7.08,6.92,6.75,10,10,6.75,16,0,0,0,None,1400,m,2012
79,Arabica,CAFES FINOS DE EXPORTACION S DE R.L.,INTIBUCA,Honduras,2014,Pacas,Completed,Washed_Wet,7,7,7,7,7,7,10,10,7,11,0,0,12,Green,1350,m,2014
79,Arabica,GONZALO DE AQUINO FLORES,ILIATENCO GUERRERO,Mexico,2012,Mundo Novo,Completed,Natural_Dry,6.75,7.08,6.67,7.25,7.17,7.08,10,10,7,12,0,0,12,None,1300,m,2012
79,Arabica,ISRAEL EDUARDO PAZ GARCIA,ZARAGOZA ITUNDUJIA,Mexico,2012,Typica,Completed,Semi_washed_Semi_pulped,7.5,7.17,6.92,7.5,7.25,7,10,10,7,14,0,3,17,Green,1550,m,2012
79,Arabica,JUAN AVENAMAR RODRIGUEZ FUNEZ,AMATENANGO DE LA FRONTERA,Mexico,2012,Typica,Completed,Washed_Wet,7.17,6.83,6.83,7.25,7.17,6.92,10,10,6.83,14,0,7,38,Green,12,m,2012
79,Arabica,Juan Luis Alvarado Romero,ORIENTE,Guatemala,2014,Other,Completed,Washed_Wet,7.33,7.17,6.58,7.42,7.08,6.83,10,10,6.58,12,0,0,3,Green,4000,ft,2014
79,Arabica,Sustainable Harvest Coffee,SAN IGNACIO,Peru,2012,Typica,Completed,Washed_Wet,7.67,7.17,7.08,7.25,8,7.5,9.33,9.33,7,0,0,0,4,NULL,1400,m,2013
79.08,Arabica,BALBINO RAMIREZ FLORES,TALPA DE ALLENDE,Mexico,2012,Typica,Completed,Washed_Wet,7.17,7.25,7.25,7.17,7.25,7.08,9.33,10,7.25,10,0,0,0,Bluish_Green,1200,m,2012
79.08,Arabica,German Negron,YAUCO REGION,USA (Puerto Rico),2013,Other,Completed,Washed_Wet,7.42,7.08,6.75,7.33,7.33,6.92,9.33,10,6.92,13,0,0,0,Green,2800,ft,2014
79.08,Arabica,ISRAEL EDUARDO PAZ GARCIA,ZARAGOZA ITUNDUJIA,Mexico,2012,Typica,Completed,Washed_Wet,7.33,7,6.92,7.25,7.33,7.08,10,10,6.83,16,0,0,2,None,1500,m,2012
79.08,Arabica,Juan Luis Alvarado Romero,SAN MARCOS,Guatemala,2017,Bourbon,Completed,Washed_Wet,7.58,7.67,7.42,7.42,7.67,7.67,8.67,8.67,7.67,10,0,0,1,Green,1700,m,2017
79.08,Arabica,JUANA RODRIGUEZ GUTIERREZ,TLACUILOTEPEC,Mexico,2012,Mundo Novo,Completed,Washed_Wet,7.25,7.08,6.75,7.33,7.42,7,10,10,6.92,11,0,0,45,Green,1100,m,2012
79.08,Arabica,Racafe & Cia S.C.A,,Colombia,2011,NULL,Completed,NULL,6.75,6.75,6.42,6.83,7.58,7.5,10,10,7.25,10,0,0,3,NULL,NULL,NULL,2011
